se_setor	qu_setor	nome	
SAIN	SCIA	Brazlândia	
SH BOA VISTA - IMPÉRIO DOS NOBRES	SHCNW	Ceilândia	
SMAS	SHIN	Taguatinga	
SHIS	EXPANSAO URBANA SETOR OESTE	Samambaia	
SDN	SHCES	Vicente Pires	
SAM	SHVP - ETAPA 3 - CA. SAMAMBAIA	Águas Claras	
SMHS	SHIS	Recanto das Emas	
SEN	SHIS	Riacho Fundo II	
Q CENTRAL SETOR RESIDENCIAL	BAIRRO CRIXÁ	Riacho Fundo	
ARIE SANTUARIO DE VIDA SILVESTREDO RIACHO FUNDO	BAIRRO CRIXÁ	Núcleo Bandeirante	
SHCNW	SRIA II	Park Way	
SETOR DE HOTEIS E DIVERSOES	SHIS	Park Way	
SETOR DE OFICINAS E INDUSTRIAS DE PEQUENO PORTE	SRIA II	Guará	
SCN B	SETOR CENTRAL	Candangolândia	
AEMN	SHCSW	SIA	
ADE	ALDEIAS DO CERRADO	Cruzeiro	
SCN 2	SHCES	Sudoeste/Octogonal	
RUA 5	SHCES	Plano Piloto	
SHCGN	SHCES	Varjão	
SBN	SHCES	Lago Norte	
SMAS	SHCSW	Lago Sul	
SETOR ITAMARACA	SH OURO VERMELHO II - FASE I E II	Paranoá	
SCEN	SITIO DO GAMA	Itapoã	
SETOR E NORTE	SETOR RESIDENCIAL NORTE A	Jardim Botânico	
SAI/SO	SETOR RESIDENCIAL LESTE	São Sebastião	
MUDB	SITIO DO GAMA	Gama	
EMI	SETOR A SUL	Santa Maria	
SEPS	SETOR DE EXPANSAO ECONOMICA	Sobradinho	
SGAS	SETOR P NORTE	Sobradinho II	
SAIN	SHIS	Planaltina	
PQEB	SETOR B NORTE	SCIA/Estrutural	
VILA SAO JOSE	SHCSW	Fercal - Engenho Velho	
SHS	SETOR DE INDUSTRIA	Vila DVO	
SHLSW	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3	Vila Planalto	
SETOR A SUL	SETOR P NORTE	Vila Telebrasilia	
SETOR B NORTE	SETOR N NORTE	Setor Habitacional Taquari	
SETOR COMERCIAL CENTRAL	SETOR O NORTE	Setor Habitacional Jardins Magueiral	
SPO	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3	Setor Noroeste	
SETOR ADMINISTRATIVO	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3	Setor Habitacional Água Quente	
SCN 1	SHCES	Engenho das Lages	
SGCV	SETOR DE INDUSTRIA	Vargem Bonita	
SMU	SETOR N NORTE	CAUB I	
SETOR DE POSTOS E MOTEIS	SHCNW	CAUB II	
SH BOA VISTA - LOTEAMENTO BIANCA	SETOR B SUL	Colônia Agrícola Sucupira	
SETOR N NORTE	SITIO DO GAMA	ADE Águas Claras	
SETOR C NORTE	SETOR G NORTE	Setor Habitacional Arniqueiras	
SHLS	SMAS	Setor de Mansões de Taguatinga	
SBS	SHIS	Setor Primavera	
SRTVN	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3	Setor Habitacional Bernardo Sayão	
SETOR G NORTE	SETOR RESIDENCIAL OESTE VILA NOSSA SENHORA DE FATI	Areal	
SIG	SH TORORO / PARQUE DO MIRANTE	Incra 8	
SDC	SH TORORO / PARQUE DO MIRANTE	Núcleo Rural Lago Oeste	
SAIN	SHIS	Setor Habitacional Alto da Boa Vista	
SHCGN	SHIS	Setor Habitacional Nova Colina	
SHCGN	SH TORORO - ESTÂNCIA DEL REY	Vila Basevi	
SAUN	SETOR N NORTE	Vale do Amanhecer	
SETOR RECREATIVO CULTURAL	SETOR DE INDUSTRIA	Núcleo Rural Taquara	
SDS	SHIS	PAD-DF	
RIACHO FUNDO II	SHIS	Núcleo Rural Café sem Troco	
SETOR DE OFICINAS E AREAS ESPECIAIS NORTE	SHIS	Núcleo Rural Capão Seco	
BAIRRO CRIXÁ	SETOR P NORTE	Núcleo Rural Rajadinha II	
SETOR HOSPITALAR	SETOR RESIDENCIAL LESTE	Setor Habitacional Grande Colorado	
SAUS	SRIA I	Setor Habitacional Sol Nascente	
SAI	SAI/O	Setor de Mansões de Sobradinho	
QELC VILA TECNOLOGICA	QELC	Setor Habitacional Tororó	
SETOR JUSCELINO KUBITSCHEK	RIACHO FUNDO II	Park Sul	
STN	SRIA I	Pôr do Sol	
QELC VILA TECNOLOGICA	SRIA II	Expansão de Samambaia	
SIN	SHIN	Lucio Costa	
PTS	SETOR M NORTE	Total Ville	
SRTVS	SRIA II	Residencial Santos Dumont	
SAIS	SRIA II	Polo JK	
SAIN	RIACHO FUNDO II	Setor Habitacional Contagem	
SCTS	SHIN	Comunidade Queima Lençol	
STS	SHIS	Comunidade Boa Vista	
SPMS	SHIS	Granja do Torto/ Vila Weslian Roriz	
SAIS	SHTQ	Vila Cauhy	
SCLN	SHIN	Vila Naval Almirante Visconde de Inhaúm	
SRPS	SH ESTRADA DO SOL/RESIDENCIAL QUINTAS INTERLAGOS	Rua do Mato	
SH OURO VERMELHO II - FASE I E II	SH ESTRADA DO SOL/RESIDENCIAL QUINTAS INTERLAGOS	Alto Bela Vista	
SH GRANDE COLORADO/PARCELAMENTO MANSOES COLORADO	SHIS	Fercal Oeste	
SHCGN	SHIS	Fercal Leste	
PFR	SHIS	Bananal	
SCS B	SHIN	Santa Luzia	
SH TORORÓ JARDIM ATLÂNTICO SUL	SETOR CENTRAL	Setor Habitacional Ponte de Terra	
SH TORORO - SANTA BARBARA	SHIN	Assentamento 26 de Setembro	
SETOR DE GARAGENS E CONCESSIONARIAS DE VEICULOS	SHIS	RCG	
	SHIN	Núcleo Rural Alexandre Gusmão	
SH TORORO / PARQUE DO MIRANTE	SHCNW	Incra 9	
SETOR ADMINISTRATIVO	SHIN	Altiplano Leste	
EMO		Expansão Alto Bela Vista	
SETOR R NORTE	SHIN	Morro Azul	
SAIS		Lobeiral	
CENTRO METROPOLITANO		PA Contagem	
SETOR NORTE		Catingueiro	
SH ESTRADA DO SOL/RESIDENCIAL QUINTAS INTERLAGOS		Núcleo Rural Córrego do Arrozal	
VILA NOVA DIVINEIA	SHIN	Núcleo Rural Rajadinha III	
SAIS	SHIN	Núcleo Rural Rio Preto	
SETOR DE OFICINAS E PEQUENAS INDUSTRIAS	SHIN	Núcleo Rural Tabatinga	
SAI/SE	SHIN	Núcleo Rural Jardins do Morumbi	
SHVP - ETAPA 3 - CA. SAMAMBAIA	SHIS	Núcleo Rural Cariru	
SETOR DE AREAS COMPLEMENTARES	SHIN	Núcleo Rural Sobradinho dos Melo	
SETOR HOSPITALAR	SHIN	Núcleo Rural Casa Grande	
SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3	SHIN	Núcleo Rural Ponte Alta de Baixo	
SETOR DE AREAS ESPECIAIS NORTE	SHIN	Núcleo Rural Ponte Alta de Cima	
SAIN	SHIN	Núcleo Rural Almécegas	
ZOOLOGICO	SETOR LESTE		
SCEE SUL	SETOR LESTE		
SOF SUL	SETOR G SUL		
SPP	SETOR C SUL		
SETOR DE AREAS ISOLADAS	SETOR P NORTE		
SETOR DE POSTOS E MOTEIS SUL	SETOR DE EXPANSAO ECONOMICA		
SMI	SETOR INDUSTRIAL BERNARDO SAYAO		
SAIS	SETOR B SUL		
SAI/O	SETOR H NORTE		
QELC VILA TECNOLOGICA	SETOR B SUL		
SETOR DE INDUSTRIA	SHCNW		
SCES	SETOR M NORTE		
SEDB	SETOR J NORTE		
SETOR DE EDUCACAO	SHIGS		
Q CENTRAL SETOR HOTELEIRO	SETOR D NORTE		
SETOR CENTRAL	SETOR INDUSTRIAL		
SETOR F SUL	SEPS		
SETOR DE INDUSTRIAS GRAFICAS	SETOR N NORTE		
SETOR COMERCIAL CENTRAL	SCRS		
Q CENTRAL SETOR ADMINISTRATIVO E CULTURAL	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
SETOR A NORTE	SETOR P NORTE		
SETOR INDUSTRIAL	SHCES		
SETOR DE MÚTIPLAS ATIVIDADES	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
SAI/SO	RIACHO FUNDO II		
SAIN	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
ADE OESTE	VILA VICENTINA		
PTP	SETOR TRADICIONAL		
SETOR DE DESENVOLVIMENTO ECONOMICO	SIG		
VILA DVO	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
SAFN	SETOR HABITACIONAL VICENTE PIRES/GLEBA 1/2/3		
SETOR H NORTE	SIG		
SHCGN	SHCNW		
SHCES	SHCNW		
SH SAO BARTOLOMEU TRECHO 1	SETOR NORTE		
SH TORORO - ESTÂNCIA DEL REY	SHCNW		
SHIN	SCLS		
